Code Word,Size,Stranding,Ind. Diam - Al,Ind. Diam - St,Diam - Stl Core,Diam - Complete Cable,Weight per 1000 ft - Al,Weight per 1000 ft - Stl,Weight per 1000 ft - Total,% Al,% Stl,Rated Strength,Resistance DC @Low degc,Resistance AC @High degc,Low Temp,High Temp,Meters per Resistance Interval,Allowable Ampacity,Type
ACAR1172,1172,30/7,0.178,0.178,,1.246,,,1097.3,,,24000,0.0152,0.019,20,75,304.8,1101,ACAR
ACAR1172,1172,18/19,0.178,0.178,,1.246,,,1095.5,,,29500,0.0159,0.0198,20,75,304.8,1080,ACAR
ACAR1197,1197,30/7,0.1799,0.1799,,1.259,,,1120.8,,,24500,0.0148,0.0187,20,75,304.8,1115,ACAR
ACAR1197,1197,18/19,0.1799,0.1799,,1.259,,,1118.9,,,30200,0.0156,0.0194,20,75,304.8,1094,ACAR
ACAR1280,1280,30/7,0.186,0.186,,1.302,,,1198.5,,,26200,0.0139,0.0175,20,75,304.8,1160,ACAR
ACAR1280,1280,18/19,0.186,0.186,,1.302,,,1196.5,,,32200,0.0146,0.0182,20,75,304.8,1139,ACAR
ACAR1361,1361,42/19,0.1494,0.1494,,1.344,,,1273.6,,,30300,0.0133,0.0168,20,75,304.8,1196,ACAR
ACAR1527,1527,42/19,0.1582,0.1582,,1.424,,,1428.8,,,33600,0.0118,0.0151,20,75,304.8,1314,ACAR
ACAR1703,1703,42/19,0.1671,0.1671,,1.504,,,1593.5,,,37500,0.0106,0.0137,20,75,304.8,1363,ACAR
ACAR1933,1933,42/19,0.178,0.178,,1.602,,,1808.8,,,42500,0.00936,0.0123,20,75,304.8,1465,ACAR
ACAR2267,2267,42/19,0.1928,0.1928,,1.735,,,2142,,,49900,0.00806,0.0108,20,75,304.8,1594,ACAR
ACAR2493,2493,72/19,0.1655,0.1655,,1.821,,,2356.9,,,50400,0.00722,0.0099,20,75,304.8,1687,ACAR
ACAR2493,2493,54/37,0.1655,0.1655,,1.821,,,2354.5,,,57600,0.00743,0.0101,20,75,304.8,1670,ACAR
Akron,30.58,7,0.0661,,,0.198,,,28.5,,,1110,0.659,0.785,20,75,304.8,107,AAAC
Alton,48.69,7,0.0834,,,0.25,,,45.4,,,1760,0.414,0.493,20,75,304.8,143,AAAC
Ames,77.47,7,0.1052,,,0.316,,,72.2,,,2800,0.26,0.31,20,75,304.8,191,AAAC
Azusa,123.3,7,0.1327,,,0.398,,,115,,,4280,0.163,0.195,20,75,304.8,256,AAAC
Anaheim,155.4,7,0.149,,,0.447,,,144.9,,,5390,0.13,0.154,20,75,304.8,296,AAAC
Amherst,195.7,7,0.1672,,,0.502,,,182.5,,,6790,0.103,0.123,20,75,304.8,342,AAAC
